Customer ID,Monetary,Customer_Rank,Cumulative_Revenue,Cumulative_Revenue_Percentage
14646,280206.02,1,280206.02,0.03144345506752474
18102,259657.3,2,539863.3200000001,0.060581025507677286
17450,194550.79,3,734414.1100000001,0.0824126372043726
16446,168472.5,4,902886.6100000001,0.10131786088180667
14911,143825.06,5,1046711.6700000002,0.11745726006992564
12415,124914.53,6,1171626.2000000002,0.1314746049197471
14156,117379.63,7,1289005.83,0.14464641729461214
17511,91062.38,8,1380068.21,0.15486502663738022
16029,81024.84,9,1461093.05,0.16395726853815518
12346,77183.6,10,1538276.6500000001,0.17261846382064697
16684,66653.56,11,1604930.2100000002,0.18009802553367002
14096,65164.79,12,1670095.0000000002,0.18741052419572476
13694,65039.62,13,1735134.6200000003,0.19470897684523916
15311,60767.9,14,1795902.5200000003,0.20152807635351466
13089,58825.83,15,1854728.3500000003,0.20812924553044687
17949,58510.48,16,1913238.8300000003,0.21469502755347158
15769,56252.72,17,1969491.5500000003,0.22100745393797985
15061,54534.14,18,2024025.6900000002,0.22712702903039259
14298,51527.3,19,2075552.9900000002,0.23290919010709202
14088,50491.81,20,2126044.8000000003,0.23857515316888847
15749,44534.3,21,2170579.1,0.24357259134317774
12931,42055.96,22,2212635.06,0.24829192138677073
17841,40991.57,23,2253626.63,0.2528918103878789
15098,39916.5,24,2293543.13,0.2573710598850983
13798,37153.85,25,2330696.98,0.26154029726643846
16013,37130.6,26,2367827.58,0.2657069256376999
16422,34684.4,27,2402511.98,0.2695990524840255
12748,33719.73,28,2436231.71,0.2733829284162559
15838,33643.08,29,2469874.79,0.2771582030313878
17404,31906.82,30,2501781.61,0.2807386423846093
17389,31833.68,31,2533615.29,0.2843108742970928
13098,28882.44,32,2562497.73,0.28755193137495455
14680,28754.11,33,2591251.84,0.2907785878393362
13081,28337.38,34,2619589.2199999997,0.29395848074371195
13408,28117.04,35,2647706.26,0.29711364808762486
17857,26879.04,36,2674585.3,0.30012989265830964
16333,26626.8,37,2701212.0999999996,0.30311783199448794
13777,25977.16,38,2727189.26,0.3060328716615226
12753,21429.39,39,2748618.65,0.3084375811020602
12744,21279.29,40,2769897.94,0.31082544699796005
16210,21086.3,41,2790984.2399999998,0.31319165642697355
17675,20374.28,42,2811358.5199999996,0.31547796618474805
17381,20275.61,43,2831634.1299999994,0.3177532036403946
15039,19914.44,44,2851548.5699999994,0.3199879122285074
12471,19824.05,45,2871372.619999999,0.3222124776587268
12731,18895.91,46,2890268.5299999993,0.3243328914066006
15159,18641.010000000002,47,2908909.539999999,0.3264247014267717
12901,17654.54,48,2926564.079999999,0.32840581423522536
12678,17628.46,49,2944192.539999999,0.33038400046377125
14031,17286.86,50,2961479.399999999,0.3323238538818691
17428,17256.85,51,2978736.249999999,0.33426033971319424
13767,17220.36,52,2995956.609999999,0.3361927308013893
13881,17159.52,53,3013116.129999999,0.3381182946993394
16839,16594.35,54,3029710.479999999,0.33998043777035475
12921,16587.09,55,3046297.569999999,0.34184176615693257
14607,16569.5,56,3062867.069999999,0.34370112067308944
15856,16387.57,57,3079254.6399999987,0.3455400598256491
17677,16363.23,58,3095617.8699999987,0.34737626765324886
15189,16225.39,59,3111843.259999999,0.34919700769808465
14051,15610.390000000001,60,3127453.649999999,0.35094873521825554
15513,14758.220000000001,61,3142211.869999999,0.3526048360666479
